entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-06-04 08:15:00,2025-06-04 11:15:00,LONG,2639.25,2632.81,2621.3031,2651.1030703353586,2678.760234451195,2708.392910289592,-0.24400871459695195,5.0,12,0.6116529161612311,NEUTRAL,PASS,PASS,PASS,0.44714389815271693,0.24070718061545196,EARLY_EXIT,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.612
2025-06-07 09:00:00,2025-06-08 03:00:00,LONG,2487.69,2509.7977,2509.7977,2509.7977,2539.6367,2611.2502999999997,1.4027408100343233,5.0,72,0.5535379851641613,NEUTRAL,PASS,PASS,PASS,0.6455600542527848,0.10108690490489498,SL,M9=NEUTRAL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.554
2025-06-07 11:15:00,2025-06-08 03:00:00,LONG,2497.2,2509.7977,2509.7977,2509.7977,2539.6367,2611.2502999999997,1.0165722752339856,5.0,63,0.5627931752148039,NEUTRAL,PASS,PASS,PASS,0.5705807395613202,0.10108690490489498,SL,M9=NEUTRAL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.563
2025-06-08 13:00:00,2025-06-08 14:00:00,LONG,2506.96,2506.96,2506.96,2515.7654999999995,2539.6367,2611.2502999999997,0.1580589638446472,5.0,4,0.5132209852627294,NEUTRAL,PASS,PASS,PASS,0.5271398717952596,0.09204986360978024,SL,M9=NEUTRAL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.513
2025-06-09 17:00:00,2025-06-09 21:45:00,LONG,2569.99,2648.372917770944,2611.2502999999997,2611.2502999999997,2614.7802387262536,2648.372917770944,1.8517771380980925,5.0,19,0.5829466585610671,BULLISH,FAIL,PASS,PASS,0.8581773089613995,0.27271279888042155,TP3,M9=NEUTRAL M13=BULLISH M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.583
2025-06-09 18:30:00,2025-06-09 22:15:00,LONG,2576.41,2652.587862068151,2611.2502999999997,2611.2502999999997,2619.9402068960862,2652.587862068151,1.7033394129254538,5.0,15,0.5806251260283272,BULLISH,FAIL,PASS,PASS,0.8896235621344157,0.27271279888042155,TP3,M9=NEUTRAL M13=BULLISH M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.581
2025-06-09 21:00:00,2025-06-10 00:15:00,LONG,2619.19,2710.002495692957,2637.3524991385916,2637.3524991385916,2671.0828546816897,2710.002495692957,1.5750983881254645,5.0,13,0.6150382908751554,BULLISH,FAIL,PASS,PASS,0.6105764814300693,0.27271279888042155,TP3,M9=NEUTRAL M13=BULLISH M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.615
2025-06-10 00:15:00,2025-06-10 03:15:00,LONG,2717.67,2681.46,2669.0346455145072,2738.947967587403,2778.464193106866,2824.059837937015,-1.3323913499431512,5.0,12,0.632351358784972,BULLISH,PASS,PASS,PASS,0.9841026222608652,0.4696386973295964,EARLY_EXIT,M9=NEUTRAL M13=BULLISH M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.632
2025-06-15 21:00:00,2025-06-17 15:00:00,LONG,2504.51,2512.1608,2512.1608,2512.1608,2529.8504000000003,2742.1256,0.6016753518587933,5.0,168,0.5948668903153513,NEUTRAL,PASS,PASS,PASS,0.47617078257369705,0.07082237350197068,SL,M9=NEUTRAL M13=BULLISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.595
2025-06-28 14:00:00,2025-06-28 15:45:00,LONG,2426.38,2431.397917043717,2426.38,2431.397917043717,2443.106390145723,2455.6511827550153,0.20680672622247162,5.0,7,0.5800951969205743,BULLISH,FAIL,PASS,PASS,0.6905237695265833,0.06242509066281304,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.580
2025-06-29 08:00:00,2025-06-29 08:30:00,LONG,2440.25,2444.9279271444575,2440.25,2444.9279271444575,2455.843090481525,2467.5379083426687,0.19169868433387965,5.0,2,0.6022926211812343,NEUTRAL,FAIL,PASS,PASS,0.5671193449179188,0.09122484090718838,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.602
2025-06-29 10:00:00,2025-06-29 11:45:00,LONG,2455.79,2461.5321763885036,2455.79,2461.5321763885036,2474.9305879616786,2489.286028932938,0.23382196313624515,5.0,7,0.6497319820147158,BULLISH,FAIL,PASS,PASS,0.7882040841720652,0.09122484090718838,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BULLISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.650
2025-06-30 16:45:00,2025-06-30 19:15:00,LONG,2475.43,2503.454,2475.43,2503.454,2523.702298875054,2559.906523031345,1.1320861426095807,5.0,10,0.5659733978895798,BEARISH,PASS,PASS,PASS,0.5360311739737655,0.12084425733954535,TP1,M9=CHOP_MILD_BULL M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.566
2025-07-03 20:15:00,2025-07-03 23:15:00,LONG,2594.86,2588.5,2574.1011200000003,2607.792751238932,2637.969170796439,2670.301048893768,-0.24509992831983715,5.0,12,0.5679306558089547,NEUTRAL,PASS,PASS,PASS,0.6514627069069349,0.22578183250156303,EARLY_EXIT,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.568
2025-07-05 14:00:00,2025-07-05 17:00:00,LONG,2515.46,2504.03,2476.973462,2596.125,2537.2971342336104,2596.125,-0.4543900519189268,5.0,12,0.6084790428707831,NEUTRAL,PASS,PASS,PASS,0.39903608038605454,0.06822260398914871,EARLY_EXIT,M9=NEUTRAL M13=BULLISH M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.608
2025-07-07 08:30:00,2025-07-07 10:00:00,LONG,2583.85,2566.27982,2566.27982,2596.125,2618.5676726940824,2644.605927214644,-0.6799999999999887,5.0,6,0.6232671456354205,NEUTRAL,PASS,PASS,PASS,0.4426749403416844,0.13493011991292156,SL,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.623
2025-08-06 14:45:00,2025-08-06 15:00:00,LONG,3637.17,3622.277452030689,3622.277452030689,3684.6457,3716.1091,3759.8145126884465,-0.40945427267109263,5.0,1,0.5458072420819748,NEUTRAL,FAIL,PASS,PASS,0.2515223201444964,0.1887251308237725,SL,M9=CHOP_MILD_BULL M13=NEUTRAL M1=NEUTRAL M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.546
